id,title,year,location,lat,lng,category,description
Hatch_UDB_5,Armies in the Sky: A Celestial Battle?,70,PALESTINE,31.766668,35.233335,OTHER,Many observer(s). Chariots and regiments circle towns in sky. Loud noises later.
Hatch_UDB_6,Mysterious Figures Observed Near Craft,840,"LYON, FRANCE",45.750002,4.866667,UAP,Mob Lynches 3 figures from 'cloudship'. They admitted flying.
Hatch_UDB_7,Flaming Apparition Witnessed in Night Sky,927,"VERDUN, FR",49.150002,5.35,OTHER,Fiery armies' pass in sky here and all E. France according to Scribe Flodoard.
Hatch_UDB_8,Flying Saucer Formation Overhead,989,JAPAN / LOCATION UNKNOWN,35.666668,139.83334,UAP,Unusually bright saucers fly. Then join together. Time unknown.
Hatch_UDB_9,Flying Saucer Formation Overhead,1015,JAPAN / LOCATION UNKNOWN,35.633335,139.800007,UAP,2 spheres hover. 2 small objects exit.. 1 smokes. No further details. / Belgian UFO Society (SOBEPS) IFS#23 p35.
Hatch_UDB_10,Flying Saucer Formation Overhead,1034,"NEAR VERDUN, FR",49.083336,5.333334,OTHER,Fiery ovoid going quickly southeast turns going quickly west. / Verdun Museum / Belgian UFO Society (SOBEPS) IFS#23 p35.
Hatch_UDB_11,Flying Saucer Formation Overhead,1180,"KII SANCHI, NARA, JAPAN",34.000002,135.672229,UAP,Glowing 'pot' flies and maneuvers between mountains. Going quickly south. / Belgian UFO Society (SOBEPS) IFS#23.
Hatch_UDB_12,Silent Aerial Object Displays Unusual Movement,1186,"DUNSTABLE, BEDFORDS",51.883336,-0.45,UAP,Many observer(s) amazed. 'Sky opens up'. Huge cross hovers till midnight.
Hatch_UDB_13,Flying Saucer Formation Overhead,1235,JAPAN / LOCATION UNKNOWN,37.016668,140.000007,UAP,Night lights and fireballs overhead all night. 'Wind making stars sway' / Belgian UFO Society (SOBEPS) IFS#23.
Hatch_UDB_14,Baffling Event Leaves Witnesses in Awe,1254,"ST. ALBANS ABBEY, HERTFS",51.733336,-0.333333,OTHER,Date exact. Many observer(s). Large elegant ship. Paris also. / IFS#23.
